CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,0,Segmen 1 (peringkat belanja 1)
12347,3,7,4310.0,0,Segmen 1 (peringkat belanja 1)
12348,76,4,1797.24,0,Segmen 1 (peringkat belanja 1)
12349,19,1,1757.55,1,Segmen 2 (peringkat belanja 2)
12350,311,1,334.4,1,Segmen 2 (peringkat belanja 2)
12352,37,8,2506.04,0,Segmen 1 (peringkat belanja 1)
12353,205,1,89.0,1,Segmen 2 (peringkat belanja 2)
12354,233,1,1079.4,1,Segmen 2 (peringkat belanja 2)
12355,215,1,459.4,1,Segmen 2 (peringkat belanja 2)
12356,23,3,2811.43,0,Segmen 1 (peringkat belanja 1)
12357,34,1,6207.67,0,Segmen 1 (peringkat belanja 1)
12358,2,2,1168.06,0,Segmen 1 (peringkat belanja 1)
12359,58,4,6310.03,0,Segmen 1 (peringkat belanja 1)
12360,53,3,2662.06,0,Segmen 1 (peringkat belanja 1)
12361,288,1,189.9,1,Segmen 2 (peringkat belanja 2)
12362,4,10,5226.23,0,Segmen 1 (peringkat belanja 1)
12363,110,2,552.0,1,Segmen 2 (peringkat belanja 2)
12364,8,4,1313.1,0,Segmen 1 (peringkat belanja 1)
12365,292,2,641.38,1,Segmen 2 (peringkat belanja 2)
12367,5,1,168.9,1,Segmen 2 (peringkat belanja 2)
12370,52,4,3541.94,0,Segmen 1 (peringkat belanja 1)
12371,45,2,1887.96,1,Segmen 2 (peringkat belanja 2)
12372,72,3,1298.04,1,Segmen 2 (peringkat belanja 2)
12373,312,1,364.6,1,Segmen 2 (peringkat belanja 2)
12374,26,1,742.9300000000001,1,Segmen 2 (peringkat belanja 2)
12375,11,2,457.5,1,Segmen 2 (peringkat belanja 2)
12377,316,2,1628.12,1,Segmen 2 (peringkat belanja 2)
12378,130,1,4008.62,1,Segmen 2 (peringkat belanja 2)
12379,82,2,852.24,1,Segmen 2 (peringkat belanja 2)
12380,22,4,2724.81,0,Segmen 1 (peringkat belanja 1)
12381,5,5,1845.31,0,Segmen 1 (peringkat belanja 1)
12383,185,5,1850.56,0,Segmen 1 (peringkat belanja 1)
12384,29,2,585.27,1,Segmen 2 (peringkat belanja 2)
12386,338,2,401.9,1,Segmen 2 (peringkat belanja 2)
12388,16,6,2780.66,0,Segmen 1 (peringkat belanja 1)
12390,80,1,549.84,1,Segmen 2 (peringkat belanja 2)
12391,22,1,439.66,1,Segmen 2 (peringkat belanja 2)
12393,73,4,1582.6000000000001,0,Segmen 1 (peringkat belanja 1)
12394,64,2,1272.48,1,Segmen 2 (peringkat belanja 2)
12395,20,12,3018.63,0,Segmen 1 (peringkat belanja 1)
12397,36,2,2409.9,0,Segmen 1 (peringkat belanja 1)
12398,46,1,1635.6599999999999,1,Segmen 2 (peringkat belanja 2)
12399,120,4,1108.65,1,Segmen 2 (peringkat belanja 2)
12401,304,1,84.3,1,Segmen 2 (peringkat belanja 2)
12402,324,1,225.6,1,Segmen 2 (peringkat belanja 2)
12403,50,1,427.7,1,Segmen 2 (peringkat belanja 2)
12405,149,1,1710.39,1,Segmen 2 (peringkat belanja 2)
12406,23,2,3415.3,0,Segmen 1 (peringkat belanja 1)
12407,50,5,1708.1200000000001,0,Segmen 1 (peringkat belanja 1)
12408,33,5,2888.55,0,Segmen 1 (peringkat belanja 1)
12409,79,3,11072.67,0,Segmen 1 (peringkat belanja 1)
12410,309,2,693.3299999999999,1,Segmen 2 (peringkat belanja 2)
12412,75,3,1226.88,1,Segmen 2 (peringkat belanja 2)
12413,67,3,758.1,1,Segmen 2 (peringkat belanja 2)
12414,218,3,562.41,1,Segmen 2 (peringkat belanja 2)
12415,25,21,124914.53,0,Segmen 1 (peringkat belanja 1)
12417,4,9,3649.1,0,Segmen 1 (peringkat belanja 1)
12418,113,1,668.58,1,Segmen 2 (peringkat belanja 2)
12420,64,1,600.39,1,Segmen 2 (peringkat belanja 2)
12421,16,4,807.04,0,Segmen 1 (peringkat belanja 1)
12422,96,3,803.5600000000001,1,Segmen 2 (peringkat belanja 2)
12423,1,8,1859.31,0,Segmen 1 (peringkat belanja 1)
12424,163,2,1760.96,1,Segmen 2 (peringkat belanja 2)
12425,79,1,777.2,1,Segmen 2 (peringkat belanja 2)
12426,195,1,582.73,1,Segmen 2 (peringkat belanja 2)
12427,22,3,825.8,0,Segmen 1 (peringkat belanja 1)
12428,26,9,7956.46,0,Segmen 1 (peringkat belanja 1)
12429,10,4,3750.4,0,Segmen 1 (peringkat belanja 1)
12430,44,1,256.4,1,Segmen 2 (peringkat belanja 2)
12431,36,15,6419.95,0,Segmen 1 (peringkat belanja 1)
12432,43,5,5059.32,0,Segmen 1 (peringkat belanja 1)
12433,1,7,13375.87,0,Segmen 1 (peringkat belanja 1)
